"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacillota_A|c__Clostridia",0.354923645076355,0.519246673220059,0.261126305631528,0.356870713741428,0.43574,0.431503273986904,0.667083332916667,0.626578613949702,0.726239273760726,0.631071786430718,0.525326,0.626888373111627,0.750462249537751,0.544297177188709,0.71641258206291,0.552114343656969,0.51781014248114,0.55217134348597,0.30742061484123,0.533986339863398,0.359080204598977,0.655267034198897,0.401806785545716,0.581889909449547,0.15304208174751,0.48662054013838,0.012394,0.0641697433210267,0.669126,0.0386031930159651,0.0470199059601881,0.028985971014029,0.0224650224650225,0.399929599718399
"k__Bacteria|p__Bacteroidota|c__Bacteroidia",0.502196497803502,0.278851509663587,0.579873899369497,0.125852251704503,0.128135,0.106026575893696,0.244304755695244,0.243963292256954,0.14046185953814,0.19778518671112,0.305635,0.143780856219144,0.183793816206184,0.3499773999096,0.239286196430982,0.22552932341203,0.0929357434859479,0.230178309465072,0.479530959061918,0.0957549575495755,0.455122724386378,0.133475599573201,0.276158790729674,0.13838769193846,0.79749721501671,0.146176561470316,0.154145,0.309955760176959,0.159349,0.14758473792369,0.153532692934614,0.102777897222103,0.0719450719450719,0.383890535562142
"k__Bacteria|p__Bacillota|c__Bacilli",0.000247999752000248,0.00264302378721408,0.0020120100600503,0.00341600683201366,0.002102,0.0030999876000496,0.0106139893860106,0.0630355587510887,0.00495599504400495,0.00929305575833455,0.004712,0.00165599834400166,0.00353399646600353,0.00972803891215565,0.00141700708503542,0.0340618978143066,0.161439291514332,0.0296159111522665,0.00201800403600807,0.0241732417324173,0.134356328218359,0.109620671137987,0.00788693690450477,0.00202901014505073,0.00164499013005922,0.000695997912006264,0.40621,0.221387114451542,0.013832,0.246155230776154,0.215177569644861,0.460504539495461,0.514700514700515,0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes",0,0.000174001566014094,0.0008200041000205,0.334219668439337,0.23859,0.184538261846953,0.00411999588000412,0.004652967429228,0.00434799565200435,0.00768004608027648,0.010692,0.0496449503550496,0.00153699846300154,0.0244040976163905,0.00475102375511877,0.00253599239202282,0.00840706725653806,0.0025999922000234,0.0139590279180558,0.0825138251382514,0.00437697811510942,0.00414998755003735,0.00969392244862041,0.0006560032800164,0.0111279332324006,0.258527224418327,0.129346,0.157534369862521,0.024062,0.254544272721364,0.0317869364261271,0.254810745189255,0.25046225046225,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria",0.0160659839340161,0.0606765460889148,0.0321471607358037,0.0356380712761425,0.015819,0.0881346474614102,0.00219199780800219,0.00414197100620296,0.00502299497700502,0.00430602583615502,0.003797,0.00703699296300704,0.00471399528600471,0.0217060868243473,0.00227301136505683,0.0405898782303653,0.0614614916919335,0.0432798701603895,0.0963251926503853,0.0141331413314133,0.0154179229103854,0.0109129672610982,0.0165248678010576,0.0862024310121551,0.00290198258810447,0.00184799445601663,0.117998,0.0137159451362195,0.009119,0.051798258991295,0.492114015771968,0.0128379871620128,0.043986043986044,0.158999635998544
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia",0.0224949775050225,0.0175571580144221,0.0188920944604723,0.0813781627563255,0.112453,0.0901976392094432,0.0187589812410187,0.036019747861765,0.0386259613740386,0.0456412738476431,0.018013,0.142033857966142,0.0107669892330108,0.0246030984123936,0.00496102480512403,0.0307209078372765,0.0756036048288387,0.0327979016062952,0.0460440920881842,0.0320943209432094,0.000740996295018525,0.0267299198102406,0.137456900344797,0.0102120510602553,0.00598796407221557,0.0432788701633895,0.01044,0.0395908416366335,0.046405,0.00975504877524387,0.00218099563800872,0.00345299654700345,0.00126900126900127,0.00804303217212869
"k__Bacteria|p__Bacillota_C|c__Negativicutes",0.0413569586430414,0.0598865389788508,0.0654283271416357,0.0270330540661081,0.017219,0.0126959492162031,0.0213689786310214,0.010835924148531,0.0129399870600129,0.000134000804004824,0,0,0.00794099205900794,0.0123300493201973,0.00472902364511823,0.00910797267608197,0.0106630853046824,0.00967897096308711,0.00750801501603003,0.0405894058940589,0.0119379403102984,0.0158379524861425,0.0933632530939752,0.0750733753668769,0.0189108865346808,0.00807897576307271,0.160302,0.155104379582482,0.010753,0.1159845799229,0.0423969152061696,0.0925239074760925,0.0640650640650641,0
"k__Bacteria|p__Bacillota_I|c__Bacilli_A",0.050955949044051,0.0293122638103743,0.032921164605823,0.0341840683681367,0.045993,0.0710857156571374,0.0218239781760218,0.00340797614416699,0.0243869756130244,0.0211431268587612,0.049783,0.0137059862940137,0.0101919898080102,0.00909903639614558,0.0163100815504078,0.104131687604937,0.0716795734365875,0.0988707033878898,0.030256060512121,0.0961309613096131,0.013280933595332,0.0362848911453266,0.0451206390348877,0.0257341286706434,0.00619596282422305,0.0490748527754417,0,0.00391498434006264,0.032219,0.0033280166400832,0.000302999394001212,0.000635999364000636,0.00058000058000058,0.0377071508286033
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria",0.000193999806000194,0.000569005121046089,0,0.000427000854001708,0.000541,0.00480698077207691,0.00234499765500234,7.7999454003822e-05,0.01000998999001,0.0622793736762421,0.062538,0.0107909892090108,0.00733599266400733,0,0,0,0,0,0,0,0,0.000653998038005886,0,0.013278066390332,0.000501996988018072,0.00340398978803064,0.000323,0.000177999288002848,0.007769,0,0,0,0.000128000128000128,0.000539002156008624
"k__Bacteria|p__Patescibacteria|c__Saccharimonadia",0,0.000149001341012069,0,0,0,0,7.3999926000074e-05,0,0.000130999869000131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000817,0.0222349110603558,0,0.0778643893219466,0,0.0113809886190114,0.00772400772400772,0
