"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae",0.479114520885479,0.206256856311707,0.563242816214081,0.0901451802903606,0.087565,0.067377730489078,0.143936856063144,0.184632707571047,0.0659079340920659,0.0852745116470699,0.152065,0.0541499458500542,0.128439871560128,0.248686994747979,0.178674893374467,0.207525377423868,0.0614444915559324,0.211521365435904,0.390834781669563,0.0405154051540515,0.385229073854631,0.116026651920044,0.264495884032928,0.112136560682803,0.771366371801769,0.121786634640096,0.119406,0.304609781560874,0.057161,0.13001965009825,0.0809018381963236,0.0569499430500569,0.0427280427280427,0.298784195136781
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae",0.222291777708222,0.160469444224998,0.139314696573483,0.165613331226662,0.124926,0.175901296394814,0.258748741251259,0.13592804850366,0.171030828969171,0.261418568511411,0.216752,0.172926827073173,0.482893517106483,0.246910987643951,0.290776453882269,0.357090928727214,0.261991095928767,0.35780792657622,0.200663401326803,0.189459894598946,0.147050264748676,0.296740109779671,0.194906440748474,0.260904304521523,0.0982174106955358,0.310681067956796,0.010796,0.0322368710525158,0.278843,0.0197580987904939,0.0181159637680725,0.00943799056200944,0.00867400867400867,0.215988863955456
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae",0.0938429061570938,0.120913088217794,0.0669713348566743,0.121395242790486,0.081855,0.0897986408054368,0.0892029107970892,0.221277451057843,0.146034853965146,0.10165660993966,0.084857,0.102912897087103,0.106816893183107,0.104609418437674,0.115888579442897,0.106281681154957,0.0607244857958864,0.104069687790937,0.0329680659361319,0.056560565605656,0.0741576292118539,0.256180231459306,0.0848703210374317,0.058959294796474,0.0355067869592782,0.0352158943523169,0,0,0.09311,0,0,0,0,0.0334561338245353
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Acutalibacteraceae",0.00692999307000693,0.050691456223106,0.00923504617523087,0.041990083980168,0.107987,0.138025447898208,0.187993812006188,0.12755710710025,0.133264866735133,0.173418040508243,0.112938,0.143256856743143,0.0983579016420984,0.0718392873571494,0.120774603873019,0.0344818965543103,0.0300672405379243,0.0337648987053039,0.00141700283400567,0.0627306273062731,0.101474492627537,0.0205289384131848,0.0639424884600923,0.165784828924145,0.00926094443433339,0.0970627088118736,0,0,0.139088,0,0,0,0,0.00287201148804595
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae",0.000247999752000248,0.00217701959317634,0.0012440062200311,0.00218800437600875,0.001345,0.00156599373602506,0.00946199053800946,0.0458636789542473,0.00363399636600363,0.00218701312207873,0.003839,0.0011949988050012,0.00231399768600231,0.0064940259761039,0.00120100600503002,0.0330949007152978,0.149548196385571,0.0291729124812626,0,0.00857108571085711,0.00974095129524352,0.0148339554981335,0.0035749714002288,0.000445002225011125,0.00164499013005922,0.000695997912006264,0.315534,0.204562181751273,0.012027,0.229738148690743,0.172321655356689,0.407739592260408,0.397978397978398,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae",0.0182769817230183,0.0850807657268915,0.0284741423707119,0.018989037978076,0.100784,0.0177689289242843,0.0732239267760732,0.0891213761503669,0.147797852202148,0.028751172507035,0.026981,0.119105880894119,0.0184739815260185,0.0705152820611282,0.0399771998859994,0.036995889012333,0.129832038656309,0.0380768857693427,0.0286510573021146,0.0559385593855939,0.0264108679456603,0.0268689193932418,0.0216998264013888,0.0372891864459322,0.0044249734501593,0.0273959178122466,0,0,0.052159,0,0,0,0,0.038561154244617
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Bifidobacteriaceae",0,0,0.000587002935014675,0.333638667277335,0.238353,0.184010263958944,0.00313399686600313,0.00446096877321859,0.00111699888300112,0.00768004608027648,0.010692,0.0426659573340427,0.00141199858800141,0.0242780971123884,0.00475102375511877,0.0016109951670145,0.00308802470419763,0.00164999505001485,0.0139590279180558,0.0808428084280843,0.00384598077009615,0.00360398918803244,0.00907292741658067,0.0006560032800164,0.0111279332324006,0.258428224715326,0.007042,0.0304548781804873,0.022409,0.00085800429002145,0.000153999692000616,0.00245599754400246,0.00124900124900125,0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae",0.00913099086900913,0.00769106921962298,0.00728203641018205,0.0573351146702293,0.088192,0.0651547393810425,0.0146819853180147,0.0317017780875534,0.0292439707560292,0.032083192499155,0.010116,0.100580899419101,0.00562099437900562,0.0205330821323285,0.00285101425507128,0.0271769184692446,0.0656045248361987,0.0291999124002628,0.00094500189000378,0.0235682356823568,0,0.0156229531311406,0.120587035303718,0.00839004195020975,0.00481997108017352,0.0345388963833108,0,0,0.036056,0,0,0,0,0.00194500778003112
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Micrococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001750014000112,0,0,0,9.399953000235e-05,0,4.6999624003008e-05,0,0,0,0.093087,0.0187539249843001,0.000465,0.129547647738239,0.0238289523420953,0.2002687997312,0.1999191999192,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae",0.000593999406000594,0.00263502371521344,0.000753003765018825,0.0105140210280421,0.025703,0.0175059299762801,0.0228689771310229,0.0174508778438551,0.0257059742940257,0.029527177163063,0.037902,0.0434479565520435,0.0118529881470119,0.0419861679446718,0.020759103795519,0.000156999529001413,0.00597604780838247,0.000104999685000945,0.067754135508271,0.0323473234732347,0.0190879045604772,0.00358398924803226,0.000855993152054784,0.00114200571002855,0.011638930166419,0.00988497034508896,0,0,0.091395,0,0,0,0,0.00745502982011928
