"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales",0.502196497803502,0.278851509663587,0.579873899369497,0.125852251704503,0.128135,0.106026575893696,0.243803756196244,0.243724293929942,0.13979386020614,0.19778518671112,0.305635,0.143780856219144,0.183793816206184,0.3499773999096,0.239286196430982,0.22552932341203,0.0929357434859479,0.230178309465072,0.479530959061918,0.0957549575495755,0.455122724386378,0.133475599573201,0.276158790729674,0.13838769193846,0.79749721501671,0.146176561470316,0.138421,0.309694761220955,0.15908,0.141814709073545,0.141776716446567,0.0936579063420937,0.0561910561910562,0.383890535562142
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales",0.225223774776225,0.163696473268259,0.14040170200851,0.168635337270675,0.1281,0.178407286370855,0.259296740703259,0.136504044471689,0.171919828080172,0.26444858669152,0.22641,0.177203822796177,0.486979513020487,0.251292005168021,0.297084485422427,0.36001291996124,0.26625613004904,0.361044916865249,0.221734443468887,0.190812908129081,0.147554262228689,0.305832082503752,0.195674434604523,0.261831309156546,0.099222404665572,0.310831067506797,0.010796,0.0322368710525158,0.283555,0.0197580987904939,0.0181159637680725,0.0100619899380101,0.00867400867400867,0.217388869555478
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales",0.122921877078123,0.260257342316081,0.107172535862679,0.184345368690737,0.292704,0.246709013163947,0.357771642228358,0.442360903473676,0.44021255978744,0.307946847681086,0.227498,0.374361625638374,0.226487773512226,0.250795003180013,0.284203421017105,0.179868460394619,0.228857830862647,0.178361464915605,0.0678561357122714,0.185274852748527,0.202469987650062,0.308405074784776,0.174509603923169,0.26560732803664,0.0501196992818043,0.16328951013147,0,0,0.289559,0,0,0,0,0.0854393417573671
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales",0.000247999752000248,0.00217701959317634,0.00163100815504078,0.00341600683201366,0.002102,0.0030999876000496,0.0103359896640103,0.0628585599900801,0.00495599504400495,0.00312901877411264,0.004272,0.00149499850500149,0.00250499749500251,0.00896603586414346,0.00120100600503002,0.0338768983693049,0.159199273594189,0.0296159111522665,0.00201800403600807,0.022810228102281,0.134253328733356,0.107486677539967,0.00643894848841209,0.00173500867504338,0.00164499013005922,0.000695997912006264,0.399644,0.217785128859485,0.013832,0.243027215136076,0.215177569644861,0.438432561567438,0.443612443612444,0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales",0,0.000174001566014094,0.0008200041000205,0.334219668439337,0.23859,0.184538261846953,0.003996996003004,0.004652967429228,0.00391499608500391,0.00768004608027648,0.010692,0.0496449503550496,0.00153699846300154,0.0244040976163905,0.00475102375511877,0.00253599239202282,0.00840706725653805,0.00246099261702215,0.0139590279180558,0.0823168231682317,0.00437697811510942,0.00386598840203479,0.00969392244862041,0.0006560032800164,0.0111279332324006,0.258428224715326,0.128368,0.156732373070508,0.024062,0.251575257876289,0.0315499369001262,0.250638749361251,0.246671246671247,0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales",0.0224949775050225,0.0175571580144221,0.0188920944604723,0.0813781627563255,0.112453,0.0901976392094432,0.0187589812410188,0.036019747861765,0.0386259613740386,0.0456412738476431,0.018013,0.142033857966142,0.0107669892330108,0.0246030984123936,0.00496102480512403,0.0307209078372765,0.0756036048288386,0.0327979016062952,0.0460440920881842,0.0320943209432094,0.000740996295018525,0.0267299198102406,0.137456900344797,0.0102120510602553,0.00598796407221557,0.0432788701633895,0.01044,0.0395908416366335,0.046405,0.00975504877524387,0.00218099563800872,0.00345299654700345,0.00126900126900127,0.00804303217212869
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales",0.0099039900960099,0.0511864606781461,0.0270161350806754,0.0270730541461083,0.011197,0.0843556625773497,0.000484999515000485,0.000550996143026999,0.00210799789200211,0,0.000632,0.000470999529000471,0,0.0154430617722471,0.000621003105015525,0.0399538801383596,0.0605744845958768,0.0423938728183815,0.0963251926503853,0.0117241172411724,0.0135679321603392,0.000215999352001944,0.0159048727610179,0.0849714248571243,0.000231998608008352,4.0999877000369e-05,0.046544,0.00796096815612738,0.003657,0.0397341986709934,0.160196679606641,0.00945599054400946,0.0404630404630405,0.147890591562366
"k__Bacteria|p__Bacillota_I|c__Bacilli_A|o__Erysipelotrichales",0.0486449513550486,0.0269712427411847,0.02959814799074,0.0192300384600769,0.016481,0.0334468662125351,0.0109299890700109,0.00224298429910991,0.0138579861420139,0.0211431268587612,0.049783,0.0137059862940137,0.00941699058300942,0.00892603570414281,0.00427902139510697,0.104131687604937,0.0716795734365875,0.0988707033878898,0.030256060512121,0.0244552445524455,0.0115249423752881,0.0362848911453266,0.0407226742186062,0.0250361251806259,0.00619596282422305,0.0490748527754417,0,0.00391498434006264,0.018752,0.0033280166400832,0,0.000635999364000636,0.00058000058000058,0.037311149244597
"k__Bacteria|p__Bacillota_C|c__Negativicutes|o__Veillonellales",0.000247999752000248,0.000184001656014904,0.000520002600013,0.020238040476081,0.007999,0.00924196303214787,0,0,7.8999921000079e-05,0.000134000804004824,0,0,0.00794099205900794,0.00530202120808483,0.00057800289001445,0.000753997738006786,0.00633405067240538,0.00107099678700964,0.00750801501603003,0.0340523405234052,0.00214598927005365,0.00175099474701576,0.0416006671946624,0.0164060820304102,0.0153819077085537,0,0.157713,0.151931392274431,0.00901,0.110965554827774,0.0423969152061696,0.088987911012089,0.0632170632170632,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Christensenellales",0.00218199781800218,0.0515454639091752,0.00293501467507337,0.00036500073000146,0.004275,0.000833996664013344,0.0227239772760227,0.0261568169022817,0.0823279176720823,0.0213471280827685,0.033392,0.044973955026045,0.0187669812330188,0.0119750479001916,0.00860104300521503,0.00204599386201841,0.00433203465627725,0.00242099273702179,0,0.0921789217892179,0.0039919800400998,0.00335698992903021,0.00559195526435789,0.0126900634503173,0.000307998152011088,0.00222599332202003,0,0,0.022872,0,0,0,0,0.0956083824335297
