"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacillota_A",0.354923645076355,0.519246673220059,0.261126305631528,0.356870713741428,0.43574,0.431503273986904,0.667083332916667,0.626578613949702,0.726239273760726,0.631071786430718,0.525326,0.626888373111627,0.750462249537751,0.544297177188709,0.71641258206291,0.552114343656969,0.51781014248114,0.55217134348597,0.30742061484123,0.533986339863398,0.359080204598977,0.655267034198897,0.401806785545716,0.581889909449547,0.15304208174751,0.48662054013838,0.012394,0.0641697433210267,0.669126,0.0386031930159651,0.0470199059601881,0.028985971014029,0.0224650224650225,0.399929599718399
"k__Bacteria|p__Bacteroidota",0.502196497803502,0.278851509663587,0.579873899369497,0.125852251704503,0.128135,0.106026575893696,0.244304755695244,0.243963292256954,0.14046185953814,0.19778518671112,0.305635,0.143780856219144,0.183793816206184,0.3499773999096,0.239286196430982,0.22552932341203,0.0929357434859479,0.230178309465072,0.479530959061918,0.0957549575495755,0.455122724386378,0.133475599573201,0.276158790729674,0.13838769193846,0.79749721501671,0.146176561470316,0.154145,0.309955760176959,0.159349,0.14758473792369,0.153532692934614,0.102777897222103,0.071945071945072,0.383890535562142
"k__Bacteria|p__Actinomycetota",0.0224949775050225,0.0177311595804362,0.0197120985604928,0.415597831195662,0.351043,0.274735901056396,0.0228789771210229,0.040672715290993,0.042973957026043,0.0533213199279196,0.028705,0.191678808321192,0.0123039876960123,0.0490071960287841,0.0097120485602428,0.0332569002292993,0.0840106720853767,0.0353978938063186,0.06000312000624,0.114608146081461,0.00511797441012795,0.0308799073602779,0.147150822793418,0.0108680543402717,0.0171158973046162,0.301806094581716,0.139786,0.197125211499154,0.070467,0.264299321496607,0.0339679320641359,0.258263741736258,0.251731251731252,0.00804303217212869
"k__Bacteria|p__Bacillota",0.000247999752000248,0.00264302378721408,0.0020120100600503,0.00341600683201366,0.002102,0.0030999876000496,0.0106139893860106,0.0630355587510887,0.00495599504400495,0.00929305575833455,0.004712,0.00165599834400166,0.00353399646600353,0.00972803891215565,0.00141700708503542,0.0340618978143066,0.161439291514332,0.0296159111522665,0.00201800403600807,0.0241732417324173,0.134356328218359,0.109620671137987,0.00788693690450477,0.00202901014505073,0.00164499013005922,0.000695997912006264,0.40621,0.221387114451542,0.013832,0.246155230776154,0.215177569644861,0.460504539495461,0.514700514700515,0
"k__Bacteria|p__Pseudomonadota",0.0162599837400163,0.0612455512099609,0.0321471607358037,0.0360650721301443,0.01636,0.0929416282334871,0.00453699546300454,0.00421997046020678,0.015032984967015,0.0665853995123971,0.066335,0.0178279821720178,0.012049987950012,0.0217060868243473,0.00227301136505683,0.0405898782303653,0.0614614916919335,0.0432798701603895,0.0963251926503853,0.0141331413314133,0.0154179229103854,0.0115669652991041,0.0165248678010576,0.099480497402487,0.00340397957612254,0.00525198424404727,0.118321,0.0138939444242223,0.016888,0.051798258991295,0.492114015771968,0.0128379871620128,0.0441140441140441,0.159538638154553
"k__Bacteria|p__Bacillota_C",0.0413569586430414,0.0598865389788508,0.0654283271416357,0.0270330540661081,0.017219,0.0126959492162031,0.0213689786310214,0.010835924148531,0.0129399870600129,0.000134000804004824,0,0,0.00794099205900794,0.0123300493201973,0.00472902364511823,0.00910797267608197,0.0106630853046824,0.00967897096308711,0.00750801501603003,0.0405894058940589,0.0119379403102984,0.0158379524861425,0.0933632530939752,0.0750733753668769,0.0189108865346808,0.00807897576307271,0.160302,0.155104379582482,0.010753,0.1159845799229,0.0423969152061696,0.0925239074760925,0.0640650640650641,0
"k__Bacteria|p__Bacillota_I",0.050955949044051,0.0293122638103743,0.032921164605823,0.0341840683681367,0.045993,0.0710857156571374,0.0218239781760218,0.00340797614416699,0.0243869756130244,0.0211431268587612,0.049783,0.0137059862940137,0.0101919898080102,0.00909903639614558,0.0163100815504078,0.104131687604937,0.0716795734365875,0.0988707033878898,0.030256060512121,0.0961309613096131,0.013280933595332,0.0362848911453266,0.0451206390348877,0.0257341286706434,0.00619596282422305,0.0490748527754417,0,0.00391498434006264,0.032219,0.0033280166400832,0.000302999394001212,0.000635999364000636,0.00058000058000058,0.0377071508286033
"k__Bacteria|p__Patescibacteria",0,0.000149001341012069,0,0,0,0,7.3999926000074e-05,0,0.000130999869000131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000817,0.0222349110603558,0,0.0781333906669533,0.0108189783620433,0.0113809886190114,0.00772400772400773,0
"k__Bacteria|p__Verrucomicrobiota",0.000611999388000612,0.0178921610294493,0.00161900809504047,0.00013500027000054,0.002422,0.000352998588005648,0.000833999166000834,6.3999552003136e-05,0.0166619833380167,0,0,0,0.00229099770900229,0,0.00233901169505847,0,0,0,0,0.0400614006140062,0.00234098829505852,0.00526498420504738,0,0.0124310621553108,0.00089499463003222,0.000665998002005994,0,0,0.007204,0,0,0,0,0.000241000964003856
"k__Bacteria|p__Cyanobacteriota",0.00581399418600581,0.00119301073709663,0.000869004345021725,4.9000098000196e-05,9.3e-05,0.00550297798808805,0,0,0,0.0185591113546681,0.017092,0.000422999577000423,0.0164899835100165,0,0,0,0,0,0,0,0,0.000148999553001341,0.000323997408020736,0.0404852024260121,0,5.1999844000468e-05,0,0,0.001769,0,0,0,0,0
