"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella copri_F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869697390907827,0.00823206585652685,0.0907427277718167,0,0,0,0,0.132255941952464,0.0251561257806289,0.469677181936908,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Acutalibacteraceae|g__Ruminococcus_E|s__Ruminococcus_E bromii_B",0.000856999143000857,0.00230802077218695,0.00329701648508243,0.0181360362720725,0.0823,0.112739549041804,0.0922229077770922,0.025611820717255,0.00218799781200219,0.132108792652756,0.057727,0.0618959381040619,0,0,0,0,0,0,0,0,0.0387128064359678,0.00822797531607405,0.018327853377173,0.0150370751853759,0.00310898134611192,0,0,0,0.098305,0,0,0,0,0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium adolescentis",0,0,0,0.230916461832924,0.167539,0.0686797252810989,0.000782999217000783,0.000936993441045913,0.000184999815000185,0,0,0,0.00117999882000118,0.00349601398405594,0.0014640073200366,0,0,0,0,0,0,0,0.0049359605123159,0.0006560032800164,0.00840794955230269,0.110905667282998,0,0,0.007062,0,0,0,0,0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia sp001808955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075935,0,0.000125,0.0682053410267051,0.0212949574100852,0.143178856821143,0.16016816016816,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus",0.00543399456600543,0.0158381425432829,0.00260301301506507,0.00638101276202552,0.006919,0.00679097283610866,0.00858699141300859,0.0190338667629327,0.0136149863850136,0.0230781384688308,0.024003,0.00783699216300784,0.03003096996903,0,0,0,0,0,0.083247166494333,0.0034160341603416,0.0404717976410118,0.040996877009369,0.000203998368013056,0.00226501132505663,0.00324098055411667,0.00940297179108463,0,0,0.02587,0,0,0,0,0.0448681794727179
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter faecis",0.00138399861600138,0.000602005418048762,0.00117700588502943,0,0,0,0.00983099016900983,0.00115699190105669,0.00784999215000785,0,0,0,0.0314609685390315,0.0177530710122841,0.0015640078200391,0.115959652121044,0.0492723941791534,0.118240645278064,0,0.0017880178801788,0,0.00126999619001143,0.0101179190566475,0.00887804439022195,0.00289298264210415,0.00514598456204631,0,0,0.010022,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia_A|s__Blautia_A wexlerae",0.0088999911000089,0.00319102871925847,0.0102890514452572,0.0270730541461083,0.009536,0.0336918652325391,0.00612199387800612,0.00831994176040768,0.00225599774400226,0.0102910617463705,0.000406,0.000783999216000784,0.0929519070480929,0.014622058488234,0.015440077200386,0.0175739472781582,0.013609108872871,0.0178199465401604,0.00726501453002906,0.00821008210082101,0.0118469407652962,0.0086999739000783,0.0120829033367733,0.0123920619603098,0.00287098277410336,0.0234819295542113,0,0,0.010329,0,0,0,0,0.00459301837207349
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia coli",0,0.000222001998017982,0,0,0.000193,0.000124999500002,0.000484999515000485,0.000550996143026999,0.00210799789200211,0,0.000632,0.000470999529000471,0,0.012249048996196,0.000331001655008275,0.0393438819683541,0.0602214817718542,0.0412468762593712,0.0940831881663763,0.0117241172411724,0.0010999945000275,0.000131999604001188,7.7999376004992e-05,7.1000355001775e-05,0,0,0,0.00028499886000456,0.000823,0,0,0,0,0.0966163864655459
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger qucibialis",0.00278999721000279,0.00389703507331566,0.00270501352506763,0.0188710377420755,0.027923,0.0220299118803525,0.0236179763820236,0.0569166015837889,0.0173049826950173,0,0,0,0.0286009713990286,0.00793703174812699,0.0214591072955365,0.000914997255008235,0.00161701293610349,0.000870997387007839,0,0.00881008810088101,0.0103789481052595,0.0799447601657195,0.00290297677618579,0.00142700713503568,0.00115599306404162,0.00809597571207286,0,0,0.005256,0,0,0,0,0.00109200436801747
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium sp959020155",0,0,0,0.0525531051062102,0.036741,0.0907096371614513,0.000967999032000968,0.00145598980807134,0,0,0,0,0,0.0060690242760971,0.00154700773503868,0,0,0,0,0.0200112001120011,0,0,0.00212198302413581,0,0,0.129674610976167,0,0,0.007744,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Succinivibrionaceae|g__Succinivibrio|s__Succinivibrio sp000431835",0.0099039900960099,0.0509644586801281,0.0270161350806754,0.0270730541461083,0.011004,0.0842306630773477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158268733850129,0.0849004245021225,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis",0.00349299650700349,0.00153601382412442,0.0009280046400232,0.00293000586001172,0.009778,0.00538497846008616,0.00524399475600524,0.0111939216425485,0.0093049906950093,0.0109180655083931,0.009361,0.00768799231200769,0.0214499785500215,0.0420981683926736,0.0390271951359757,0,0,0,0.0255970511941024,0.00672406724067241,0.0351928240358798,0.0153219540341379,0.000420996632026944,0.00116200581002905,0.000733995596026424,0.0108359674920975,0,0,0.003726,0,0,0,0,0.024128096512386
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter torques",0,0,0,0.0013500027000054,0.020149,0.00712597149611402,0,0.00035999748001764,0.00122699877300123,0.00673804042824257,0.01083,0.00628599371400629,0.00194699805300195,0.01562506250025,0.0007680038400192,0.0476258571224286,0.0492723941791534,0.0467468597594207,0,0.000616006160061601,0.0098719506402468,0.0635458093625719,0,0,0,0.0029559911320266,0,0,0.00671,0,0,0,0,0.00119700478801915
